sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
12758,humanista,humanist,"[""humanist""]",n,1376
12759,novak,,[],none,1376
12760,spot,"advert, ad","[""advert, ad""]",n,1376
12761,Adela,given name,"[""given name""]",prop,1375
12762,absorto,"rapt, absorbed, captivated","[""rapt, absorbed, captivated""]",adj,1375
12763,archipiélago,archipelago,"[""archipelago""]",n,1375
12764,cómodamente,comfortably,"[""comfortably"", ""conveniently""]",adv,1375
12765,e-mails,,[],none,1375
12766,gorrión,sparrow,"[""sparrow"", ""hummingbird""]",n,1375
12767,group,,[],none,1375
12768,heroísmo,heroism,"[""heroism"", ""a heroic action or deed""]",n,1375
12769,mayoritariamente,"mostly, mainly, by a majority","[""mostly, mainly, by a majority""]",adv,1375
12770,parentesco,kinship,"[""kinship""]",n,1375
12771,arpa,harp,"[""harp""]",n,1374
12772,cesión,back pass,"[""transfer, surrender, relinquishment"", ""back pass""]",n,1374
12773,college,,[],none,1374
12774,fiat,,[],none,1374
12775,gotham,,[],none,1374
12776,lencería,lingerie,"[""lingerie""]",n,1374
12777,tuerca,nut,"[""nut""]",n,1374
12778,Gaspar,given name,"[""given name""]",prop,1373
12779,babe,,[],none,1373
12780,deponer,to depose,"[""to depose"", ""to lay down""]",v,1373
12781,destitución,"dismissal, firing","[""dismissal, firing""]",n,1373
12782,dunn,,[],none,1373
12783,nominal,nominal,"[""nominal""]",adj,1373
12784,sobrellevar,"to cope with, to endure, to bear","[""to cope with, to endure, to bear""]",v,1373
12785,ultravioleta,ultraviolet,"[""ultraviolet""]",adj,1373
12786,Olimpia,Olympia,"[""Olympia""]",prop,1372
12787,hai,"there is, there are","[""there is, there are"", ""smart inflection of \""haber\""""]",none,1372
12788,hetty,,[],none,1372
12789,inactivo,inactive,"[""inactive"", ""down""]",adj,1372
12790,inventado,invented,"[""invented""]",adj,1372
12791,joyero,jeweler,"[""jeweler"", ""goldsmith"", ""jewelry casket, jewelry box""]",n,1372
12792,pique,spade,"[""spade"", ""downward movement"", ""jump, leap"", ""hit, fix"", ""rivalry, loggerheads"", ""friction, confrontation"", ""grudge match"", ""sprint""]",n,1372
12793,resentirse,to resent,"[""to fall apart"", ""to regret, bemoan"", ""to resent""]",v,1372
12794,Babilonia,Babylon,"[""Babylon"", ""Babylonia""]",prop,1371
12795,banal,banal,"[""banal""]",adj,1371
12796,freeman,,[],none,1371
12797,grial,grail,"[""grail""]",n,1371
12798,imperialismo,imperialism,"[""imperialism""]",n,1371
12799,inimaginable,unimaginable,"[""unimaginable""]",adj,1371
12800,invicto,"invincible, unbeatable","[""invincible, unbeatable"", ""unbeaten, undefeated""]",adj,1371
12801,poro,pore,"[""pore""]",n,1371
12802,babylon,,[],none,1370
12803,enrollado,cool,"[""cool"", ""a cool, sociable person""]",adj,1370
12804,finito,finite,"[""finite"", ""diminutive of \""fino""]",adj,1370
12805,hemingway,,[],none,1370
12806,swat,,[],none,1370
12807,hodgins,,[],none,1369
12808,impenetrable,impenetrable,"[""impenetrable""]",adj,1369
12809,reencuentro,"reunion, reencounter","[""reunion, reencounter""]",n,1369
12810,remodelar,to remodel,"[""to remodel""]",v,1369
12811,zurich,,[],none,1369
12812,Eloy,given name,"[""given name""]",prop,1368
12813,afectuoso,affectionate,"[""affectionate""]",adj,1368
12814,asedio,siege,"[""siege""]",n,1368
12815,crei,,[],none,1368
12816,incomparable,uncomparable,"[""uncomparable""]",adj,1368
12817,liberalización,liberalization,"[""liberalization""]",n,1368
12818,trufa,truffle,"[""truffle""]",n,1368
12819,Dina,given name,"[""given name""]",prop,1367
12820,caine,,[],none,1367
12821,contestación,a dispute,"[""an answer, reply"", ""a dispute"", ""a legal plea""]",n,1367
12822,exonerar,to exonerate,"[""to exonerate""]",v,1367
12823,apalear,to hit with a spade,"[""to hit with a spade"", ""to beat up""]",v,1366
12824,escurridizo,elusive,"[""elusive"", ""slippery, slick, sneaky""]",adj,1366
12825,exaltación,excitement,"[""exaltation, praise, elevation"", ""excitement""]",n,1366
12826,kathleen,,[],none,1366
12827,saltear,to skip ),"[""to sauté, to stir-fry, to pan fry"", ""to skip )""]",v,1366
12828,comensal,"messmate, commensal, fellow diner, dining companion","[""messmate, commensal, fellow diner, dining companion""]",n,1365
12829,comitiva,cortege,"[""company, covey, retinue"", ""cortege"", ""train""]",n,1365
12830,exorcismo,exorcism,"[""exorcism""]",n,1365
12831,incógnito,"incognito, anonymous, unknown","[""incognito, anonymous, unknown""]",adj,1365
12832,injerto,grafting,"[""grafting"", ""graft""]",n,1365
12833,postizo,prosthetic,"[""false, artificial"", ""prosthetic"", ""switch""]",adj,1365
12834,recabar,"to lobby, petition","[""to lobby, petition"", ""to collect, gather"", ""to gather, safeguard, collect""]",v,1365
12835,Escorial,El Escorial,"[""El Escorial""]",prop,1364
12836,alexandra,,[],none,1364
12837,blasfemia,blasphemy,"[""blasphemy""]",n,1364
12838,darrin,,[],none,1364
12839,azulejo,blue colored,"[""blue colored"", ""indigo bunting, Passerina cyanea"", ""cornflower, Centaurea cyanus"", ""tile""]",n,1363
12840,emigración,emigration,"[""emigration""]",n,1363
12841,estuche,case,"[""case"", ""case, pencil case, pencil box"", ""case for a single CD"", ""jewelry box"", ""love handle, spare tyre""]",n,1363
12842,intoxicar,to intoxicate,"[""to intoxicate""]",v,1363
12843,narrativo,narrative,"[""narrative""]",adj,1363
12844,portafolio,"a portfolio, a case for carrying papers","[""a portfolio, a case for carrying papers""]",n,1363
12845,rinoceronte,rhinoceros,"[""rhinoceros""]",n,1363
12846,Buffalo,Buffalo,"[""Buffalo""]",prop,1362
12847,Marlene,given name,"[""given name""]",prop,1362
12848,adición,addition,"[""addition"", ""check""]",n,1362
12849,hipnosis,hypnosis,"[""hypnosis""]",n,1362
12850,narcisista,narcissistic,"[""narcissistic"", ""narcissist""]",adj,1362
12851,recaída,relapse,"[""relapse""]",n,1362
12852,riña,"fight, struggle","[""fight, struggle""]",n,1362
12853,thornton,,[],none,1362
12854,á,"obsolete spelling of ""a","[""obsolete spelling of \""a""]",prep,1362
12855,ávido,greedy,"[""avid, keen, eager"", ""greedy"", ""anxious""]",adj,1362
12856,silenciosamente,silently,"[""silently""]",adv,1361
12857,visibilidad,visibility,"[""visibility""]",n,1361
12858,Batista,surname,"[""surname""]",prop,1360
12859,Tarragona,Tarragona,"[""Tarragona"", ""the letter T in the Spanish spelling alphabet""]",prop,1360
12860,agachado,crouched,"[""crouched"", ""stooped, with a stoop""]",adj,1360
12861,biliar,biliary,"[""biliary""]",adj,1360
12862,desconocimiento,ignorance,"[""ignorance""]",n,1360
12863,tiza,chalk,"[""chalk""]",n,1360
12864,carabinero,carbineer,"[""carbineer"", ""member of the national police"", ""a member of an armed force, in Spain between 1829 and 1940, whose mission was to patrol the coasts and borders of the country"", ""certain red shrimp""]",n,1359
12865,diurno,diurnal,"[""diurnal""]",adj,1359
12866,etiquetar,to label,"[""to label"", ""to tag on social media""]",v,1359
12867,jadeo,labored breathing,"[""a pant"", ""panting"", ""labored breathing""]",n,1359
12868,pastoral,pastoral,"[""pastoral""]",n,1359
12869,patrullero,related to patrolling,"[""related to patrolling"", ""patrolman"", ""patrol boat""]",n,1359
12870,Carrasco,surname,"[""surname""]",prop,1358
12871,Linares,surname,"[""surname"", ""A province, Chile"", ""A city in Chile"", ""A department of Chile"", ""A province, Chile until 1976""]",prop,1358
12872,butters,,[],none,1358
12873,emerson,,[],none,1358
12874,fischer,,[],none,1358
12875,hipódromo,"hippodrome, racetrack","[""hippodrome, racetrack""]",n,1358
12876,jeque,sheik,"[""sheik""]",n,1358
12877,mercante,merchant,"[""merchant""]",n,1358
12878,yakuza,yakuza,"[""yakuza""]",n,1358
12879,ceremonial,ceremonial,"[""ceremonial""]",adj,1357
12880,hispánico,Hispanic,"[""Hispanic""]",adj,1357
12881,industrialización,industrialization,"[""industrialization""]",n,1357
12882,renovable,renewable,"[""renewable""]",adj,1357
12883,dimitri,,[],none,1356
12884,entorpecer,to make sluggish,"[""to stupefy, dull, blunt"", ""to make sluggish"", ""to delay, obstruct""]",v,1356
12885,penúltimo,penultimate,"[""penultimate""]",adj,1356
12886,pichón,young pigeon or dove,"[""young pigeon or dove"", ""squab"", ""guy, fellow, fella""]",n,1356
12887,polilla,moth,"[""moth"", ""grub, woodworm, bookworm"", ""cause of progressive destruction""]",n,1356
12888,propulsión,propulsion,"[""propulsion"", ""thrust""]",n,1356
12889,acoplar,to couple,"[""to couple"", ""to hook up, connect"", ""to tag along""]",v,1355
12890,angustioso,"anguished, distressed","[""anguished, distressed"", ""harrowing, distressing""]",adj,1355
12891,baltasar,,[],none,1355
12892,hs,,[],none,1355
12893,norris,,[],none,1355
12894,súplica,"plea, supplication","[""plea, supplication""]",n,1355
12895,Neptuno,Neptune,"[""Neptune""]",prop,1354
12896,anorexia,anorexia,"[""anorexia""]",n,1354
12897,carroll,,[],none,1354
12898,enchufe,plug,"[""plug"", ""socket, jack, electrical outlet"", ""connections""]",n,1354
12899,horrorizado,aghast,"[""aghast""]",adj,1354
12900,ingestión,ingestion,"[""ingestion""]",n,1354
12901,macarrones,macaroni,"[""macaroni"", ""spaghetti""]",n,1354
12902,sexi,sexy,"[""sexy""]",adj,1354
12903,vd,,[],none,1354
12904,cianuro,cyanide,"[""cyanide""]",n,1353
12905,diócesis,diocese,"[""diocese""]",n,1353
12906,frambuesa,raspberry,"[""raspberry""]",n,1353
12907,mitterrand,,[],none,1353
12908,o.,,[],none,1353
12909,terrence,,[],none,1353
12910,fierro,branding iron,"[""branding iron"", ""weapon"", ""gas pedal"", ""penny, cent"", ""change"", ""iron"", ""iron tool"", ""coitus""]",n,1352
12911,flipar,to go crazy,"[""to go crazy"", ""to flip out"", ""to hallucinate"", ""to take drugs or to be high or under the effects of drugs"", ""to be astonished, to be very surprised""]",v,1352
12912,portería,lobby of a hotel,"[""lobby of a hotel"", ""reception desk"", ""goal""]",n,1352
12913,registrador,"a registrar, recorder","[""one that registers, especially for a court, ministry, king, or documents"", ""a registrar, recorder"", ""a dial, pressure gauge, thermostat, weight, speedometer, or similar control panel"", ""someone that is well versed in deciphering the various merchandise of a business""]",n,1352
12914,venidero,coming,"[""coming""]",adj,1352
12915,columpio,swing,"[""swing""]",n,1351
12916,cruyff,,[],none,1351
12917,incontrolable,uncontrollable,"[""uncontrollable""]",adj,1351
12918,josef,,[],none,1351
12919,Peralta,surname,"[""surname""]",prop,1350
12920,disparatado,eclectic,"[""crazy, mad"", ""absurd, unrealistic, wild"", ""eclectic""]",adj,1350
12921,fowler,,[],none,1350
12922,hawk,,[],none,1350
12923,inequívoco,unambiguous,"[""unambiguous"", ""unmistakable""]",adj,1350
12924,transversal,transversal,"[""transversal""]",adj,1349
12925,apegar,to glue,"[""to glue"", ""to become devoted, to become attached""]",v,1348
12926,bucle,curl of hair,"[""curl of hair"", ""loop""]",n,1348
12927,cabezota,stubborn,"[""stubborn"", ""augmentative of \""cabeza""]",adj,1348
12928,microscópico,microscopic,"[""microscopic""]",adj,1348
12929,pronunciamiento,"pronouncement, declaration","[""pronouncement, declaration"", ""a military uprising or coup in Spain or the Spanish American republics, particularly in the 19th century, usually accompanied by a statement declaring the existing government null and void""]",n,1348
12930,concilio,"an assembly or coterie that deals in something and its bylaws, especially a religious body","[""an assembly or coterie that deals in something and its bylaws, especially a religious body""]",n,1347
12931,dra,,[],none,1347
12932,dársela,to trick,"[""to make fun of"", ""to trick""]",v,1347
12933,gladiador,gladiator,"[""gladiator""]",n,1347
12934,inquisidor,inquisitor,"[""inquisitory, inquisitorial"", ""inquiring , enquiring"", ""inquisitor""]",n,1347
12935,kappa,kappa,"[""kappa""]",n,1347
12936,salem,,[],none,1347
12937,cochran,,[],none,1346
12938,die,,[],none,1346
12939,aplazamiento,"postponement, adjournment","[""postponement, adjournment""]",n,1345
12940,aseverar,to assert,"[""to assert""]",v,1345
12941,básquetbol,basketball,"[""basketball""]",n,1345
12942,diagonal,diagonal,"[""diagonal""]",n,1345
12943,lucille,,[],none,1345
12944,parking,"car park , parking lot , parking garage","[""car park , parking lot , parking garage""]",n,1345
12945,periódicamente,periodically,"[""periodically""]",adv,1345
12946,replantear,to redefine,"[""to redefine""]",v,1345
12947,piar,"to chirp, peep, cheep","[""to chirp, peep, cheep""]",v,1344
12948,tendón,tendon,"[""tendon""]",n,1344
12949,Renfe,train station,"[""Renfe Operadora, a state-owned company that runs trains in Spain"", ""alternative case form of \""RENFE"", ""train station"", ""commuter rail""]",n,1343
12950,caparazón,carapace,"[""carapace"", ""caparison"", ""shell""]",n,1343
12951,encubrimiento,complicity,"[""cover-up, concealment, whitewash"", ""complicity"", ""cloaking""]",n,1343
12952,intencionado,"intentional, wilful, deliberate, intended","[""intentional, wilful, deliberate, intended""]",adj,1343
12953,irónicamente,ironically,"[""ironically""]",adv,1343
12954,olfatear,to sniff,"[""to sniff"", ""to investigate, to find out with curiosity and resolution""]",v,1343
12955,plomero,plumber,"[""plumber""]",n,1343
12956,propagación,propagation,"[""propagation""]",n,1343
12957,satelital,satellite,"[""satellite""]",adj,1343
12958,striptease,striptease,"[""striptease""]",n,1343
12959,reciclaje,recycling,"[""recycling""]",n,1342
12960,remplazar,to replace,"[""to replace""]",v,1342
12961,sensei,sensei,"[""sensei""]",n,1342
12962,tableta,bar of chocolate,"[""tablet, pill"", ""bar of chocolate"", ""A type of sponge cake"", ""six-pack, washboard abs"", ""tablet computer""]",n,1342
12963,influjo,influx,"[""influx"", ""sway, influence""]",n,1341
12964,run,armadillo,"[""armadillo""]",n,1341
12965,tte,,[],none,1341
12966,ziggy,,[],none,1341
12967,Kremlin,Kremlin,"[""Kremlin""]",prop,1340
12968,atencion,,[],none,1340
12969,equidad,"equity, fairness","[""equity, fairness""]",n,1340
12970,fobia,phobia,"[""phobia""]",n,1340
12971,myers,,[],none,1340
12972,cochino,pervert,"[""pig, hog"", ""pervert"", ""dirty""]",n,1339
12973,denis,,[],none,1339
12974,desacreditar,to discredit,"[""to discredit""]",v,1339
12975,geoff,,[],none,1339
12976,masajista,"massagist, masseur, masseuse {f}","[""massagist, masseur, masseuse {f}""]",n,1339
12977,mutar,to mutate,"[""to mutate""]",v,1339
12978,predominante,predominant,"[""predominant""]",adj,1339
12979,proletario,proletarian,"[""proletarian""]",adj,1339
12980,reconfortar,to comfort,"[""to comfort"", ""to cheer up""]",v,1339
12981,barajar,to shuffle,"[""to shuffle"", ""to consider, to weigh up"", ""to quarrel"", ""to explain again to someone""]",v,1338
12982,bette,,[],none,1338
12983,clifford,,[],none,1338
12984,corrompido,corrupt person,"[""corrupt"", ""corrupt person""]",adj,1338
12985,crujir,"to creak, to crack","[""to creak, to crack"", ""to rustle, to crackle, to snap"", ""to kill, to beat""]",v,1338
12987,josephine,,[],none,1338
12988,lugareño,"inhabitant, local","[""inhabitant, local""]",n,1338
12989,poseedor,owning,"[""owning"", ""owner""]",n,1338
12990,think,,[],none,1338
12991,bad,,[],none,1337
12992,barrote,bolt,"[""bar, beam, crossbeam"", ""bolt""]",n,1337
12993,conmemorativo,commemorative,"[""commemorative""]",adj,1337
12994,ilegítimo,illegitimate,"[""illegitimate""]",adj,1337
12995,nam,,[],none,1337
12996,panorámico,panoramic,"[""panoramic""]",adj,1337
12997,pesimismo,"pessimism, gloom","[""pessimism, gloom""]",n,1337
12998,corcho,cork,"[""cork""]",n,1336
12999,huevón,stupid person,"[""lazy person"", ""stupid person"", ""man, dude, buddy"", ""asshole"", ""augmentative of \""huevo\"""", ""large testicle"", ""lazy"", ""stupid""]",n,1336
13001,refinería,refinery,"[""refinery""]",n,1336
13002,why,,[],none,1336
13003,chili,"chili, chili con carne","[""chili, chili con carne""]",n,1335
13004,comprimir,to compress,"[""to compress"", ""to zip, compress""]",v,1335
13005,dal,,[],none,1335
13006,lorna,,[],none,1335
13007,practicante,"practitioner, practiser","[""practitioner, practiser"", ""intern, trainee""]",n,1335
13008,remuneración,"payment, recompense, remuneration","[""payment, recompense, remuneration""]",n,1335
13009,risita,"diminutive of ""risa"", giggle, snicker, titter","[""diminutive of \""risa\"", giggle, snicker, titter""]",n,1335
13010,violinista,violinist,"[""violinist"", ""third wheel""]",n,1335
13011,Palencia,Palencia,"[""Palencia""]",prop,1334
13012,malditamente,very badly,"[""very badly""]",adv,1334
13013,missouri,,[],none,1334
13014,profanar,to profane,"[""to profane""]",v,1334
13015,fragmentar,to fragment,"[""to fragment""]",v,1333
13016,negativamente,negatively,"[""negatively""]",adv,1333
13017,purgatorio,"synonym of ""purgativo","[""synonym of \""purgativo"", ""purgatory""]",n,1333
13018,thea,,[],none,1333
13019,Almería,Almería,"[""Almería""]",prop,1332
